loan_number,customer_id,created_at,createdat_id,last_modified_date,last_modified_date_id,application_state,credit_limit,disbursable_amount,is_top_up,loan_amount,commencement_date,commencement_date_id,due_date,due_date_id,request_balance
2608080024812,MFS00000928,2026-08-08 15:52:22.704,20260808,2026-08-08 17:52:24.959,20260808,EXPIRED,3900.00,1282.00,f,1400.00,2026-08-08,20260808,,,NaN
2607270022861,MFS00017106,2026-07-27 11:30:22.105,20260727,2026-07-27 13:27:06.711,20260727,EXPIRED,48700.00,31600.00,f,34500.00,2026-07-27,20260727,,,NaN
2505230001487,MFS00001155,2025-05-23 07:07:01.178,20250523,2025-06-02 17:02:32.741858,20250602,EXPIRED,7045.00,6450.00,f,7045.00,2025-05-23,20250523,,,NaN
2604300015367,MFS00007164,2026-04-30 08:06:03.507,20260430,2026-04-30 08:18:19.248,20260430,PROCESSED,4346.00,3205.00,f,3500.00,2026-04-30,20260430,2026-05-25 08:18:16.159,20260525,3763.00
2607270022804,MFS00016820,2026-07-27 11:14:33.246,20260727,2026-07-27 11:19:33.594,20260727,PROCESSED,48700.00,31600.00,f,34500.00,2026-07-27,20260727,2026-09-25 11:19:32.544,20260925,39676.00
2604300015362,MFS00011830,2026-04-30 05:54:08.581,20260430,2026-04-30 06:08:47.537,20260430,PROCESSED,11984.00,9159.00,f,10000.00,2026-04-30,20260430,2026-05-25 06:08:42.719,20260525,10750.00
2604300015372,MFS00015040,2026-04-30 09:28:15.875,20260430,2026-04-30 09:42:02.285,20260430,PROCESSED,3827.00,3480.00,f,3800.00,2026-04-30,20260430,2026-05-25 09:41:58.171,20260525,4085.00
2604300015359,MFS00015381,2026-04-30 03:52:43.489,20260430,2026-04-30 04:05:57.138,20260430,PROCESSED,2437.00,2198.00,f,2400.00,2026-04-30,20260430,2026-05-25 04:05:54.467,20260525,2580.00
2607270022821,MFS00016419,2026-07-27 11:18:42.265,20260727,2026-07-27 11:19:39.764,20260727,PROCESSED,48700.00,16487.00,f,18000.00,2026-07-27,20260727,2026-08-25 11:19:38.819,20260825,19350.00
2604300015369,MFS00009953,2026-04-30 08:51:37.15,20260430,2026-04-30 09:03:35.045,20260430,PROCESSED,11089.00,7327.00,f,8000.00,2026-04-30,20260430,2026-05-25 09:03:30.005,20260525,8600.00
2604300015365,MFS00015716,2026-04-30 07:23:26.197,20260430,2026-04-30 07:35:19.833,20260430,PROCESSED,18500.00,13739.00,f,15000.00,2026-04-30,20260430,2026-05-25 07:35:13.549,20260525,16125.00
2604300015360,MFS00007402,2026-04-30 04:55:36.818,20260430,2026-04-30 05:07:29.311,20260430,PROCESSED,6635.00,1831.00,f,2000.00,2026-04-30,20260430,2026-05-25 05:07:24.647,20260525,2150.00
2604300015371,MFS00015718,2026-04-30 09:08:18.82,20260430,2026-04-30 09:19:17.333,20260430,PROCESSED,18500.00,16945.00,f,18500.00,2026-04-30,20260430,2026-05-25 09:19:12.352,20260525,19888.00
2505300001667,MFS00002028,2025-05-30 19:28:21.075,20250530,2025-06-02 17:02:32.741858,20250602,EXPIRED,20000.00,7324.00,f,8000.00,2025-05-30,20250530,,,NaN
2604300015368,MFS00013397,2026-04-30 08:40:42.102,20260430,2026-04-30 08:53:05.102,20260430,PROCESSED,2274.00,2082.00,f,2274.00,2026-04-30,20260430,2026-05-25 08:53:00.273,20260525,2445.00
2604300015370,MFS00002629,2026-04-30 09:07:38.752,20260430,2026-04-30 09:22:54.049,20260430,PROCESSED,14813.00,3663.00,f,4000.00,2026-04-30,20260430,2026-05-25 09:22:51.313,20260525,4300.00
2604300015361,MFS00004448,2026-04-30 05:19:04.668,20260430,2026-04-30 05:35:20.257,20260430,PROCESSED,20000.00,9159.00,f,10000.00,2026-04-30,20260430,2026-05-25 05:35:16.262,20260525,10750.00
2604300015366,MFS00006860,2026-04-30 07:36:24.02,20260430,2026-04-30 07:48:37.306,20260430,PROCESSED,3011.00,2747.00,f,3000.00,2026-04-30,20260430,2026-05-25 07:48:31.984,20260525,3225.00
2604280015196,MFS00015677,2026-04-28 12:59:13.099,20260428,2026-04-30 10:18:09.736,20260430,PROCESSED,6267.00,2747.00,f,3000.00,2026-04-28,20260428,2026-05-25 10:18:04.288,20260525,3225.00
2604300015363,MFS00013465,2026-04-30 06:31:03.771,20260430,2026-04-30 06:45:51.334,20260430,PROCESSED,3723.00,1373.00,f,1500.00,2026-04-30,20260430,2026-05-25 06:45:46.748,20260525,1613.00
2604300015364,MFS00007769,2026-04-30 06:35:48.724,20260430,2026-04-30 06:47:32.976,20260430,PROCESSED,10055.00,9159.00,f,10000.00,2026-04-30,20260430,2026-05-25 06:47:29.298,20260525,10750.00
2604300015379,MFS00008130,2026-04-30 10:48:37.824,20260430,2026-04-30 11:00:12.095,20260430,PROCESSED,4986.00,4487.00,f,4900.00,2026-04-30,20260430,2026-05-25 11:00:10.327,20260525,5268.00
2604300015373,MFS00005824,2026-04-30 10:23:47.588,20260430,2026-04-30 10:35:07.407,20260430,PROCESSED,9823.00,8997.00,f,9823.00,2026-04-30,20260430,2026-05-25 10:35:04.216,20260525,10560.00
2604290015297,MFS00007855,2026-04-29 11:40:37.952,20260429,2026-04-30 14:22:31.129,20260430,PROCESSED,20000.00,18319.00,f,20000.00,2026-04-29,20260429,2026-05-25 14:22:30.087,20260525,21500.00
2604300015378,MFS00010494,2026-04-30 10:48:14.008,20260430,2026-04-30 11:00:35.669,20260430,PROCESSED,5655.00,5175.00,f,5650.00,2026-04-30,20260430,2026-05-25 11:00:34.598,20260525,6074.00
2604300015380,MFS00012641,2026-04-30 11:03:16.01,20260430,2026-04-30 11:15:14.84,20260430,PROCESSED,20000.00,1831.00,f,2000.00,2026-04-30,20260430,2026-05-25 11:15:10.433,20260525,2150.00
2604300015377,MFS00013278,2026-04-30 10:47:40.326,20260430,2026-04-30 11:01:55.814,20260430,PROCESSED,1253.00,1144.00,f,1250.00,2026-04-30,20260430,2026-05-25 11:01:54.746,20260525,1344.00
2604300015376,MFS00011642,2026-04-30 10:47:15.922,20260430,2026-04-30 10:59:54.353,20260430,PROCESSED,14808.00,9159.00,f,10000.00,2026-04-30,20260430,2026-05-25 10:59:48.753,20260525,10750.00
2604300015374,MFS00008200,2026-04-30 10:24:06.124,20260430,2026-04-30 11:04:57.853,20260430,PROCESSED,6378.00,5495.00,f,6000.00,2026-04-30,20260430,2026-05-25 11:04:53.09,20260525,6450.00
