repayment_id,created_at,createdat_id,last_modified_date,last_modified_date_id,amount,batch_ref,loan_number,repayment_status,transaction_narrative,
1040,2025-06-09 12:06:12.134,20250609,2025-06-09 12:06:26.02,20250609,975,BATCH-MBOVANNH,2505090001211,PROCESSED,Payment Processed Successfully,Payment Processed Successfully
1041,2025-06-10 15:45:27.264,20250610,2025-06-10 15:45:28.953,20250610,12148,BATCH-MBQIKIVF,2504280001209,PROCESSED,Payment Processed Successfully,
1055,2025-07-02 17:53:55.204,20250702,2025-07-02 17:53:55.281,20250702,1290,BATCH-MCM2UH69,2506060002038,PROCESSED,Payment Processed Successfully,
1042,2025-06-10 15:46:49.054,20250610,2025-06-10 15:46:49.445,20250610,14513,BATCH-MBQIMA3T,2504230001205,PROCESSED,Payment Processed Successfully,
1043,2025-06-10 15:55:04.585,20250610,2025-06-10 15:55:04.96,20250610,19250,BATCH-MBQIWWG8,2504220001204,PROCESSED,Payment Processed Successfully,
1044,2025-06-10 15:59:24.69,20250610,2025-06-10 15:59:25.083,20250610,17100,BATCH-MBQJ2H5E,2504250001207,PROCESSED,Payment Processed Successfully,
1056,2025-07-02 17:55:22.976,20250702,2025-07-02 17:55:23.076,20250702,1290,BATCH-MCM2WCW2,2506080002156,PROCESSED,Payment Processed Successfully,
1045,2025-06-10 16:04:01.745,20250610,2025-06-10 16:04:02.164,20250610,4738,BATCH-MBQJ8EWR,2505060001210,PROCESSED,Payment Processed Successfully,
1046,2025-06-10 16:08:57.607,20250610,2025-06-10 16:08:58.467,20250610,3125,BATCH-MBQJER77,2504220001203,PROCESSED,Payment Processed Successfully,
1063,2025-07-02 18:02:23.539,20250702,2025-07-02 18:02:23.82,20250702,2473,BATCH-MCM35DEF,2506080002124,PROCESSED,Payment Processed Successfully,
1047,2025-06-10 16:12:58.199,20250610,2025-06-10 16:12:58.555,20250610,12800,BATCH-MBQJJWUI,2504280001208,PROCESSED,Payment Processed Successfully,
1057,2025-07-02 17:56:17.629,20250702,2025-07-02 17:56:17.697,20250702,1340,BATCH-MCM2XJ27,2506090002165,PROCESSED,Payment Processed Successfully,
1048,2025-07-02 17:45:51.331,20250702,2025-07-02 17:45:51.881,20250702,1075,BATCH-MCM2K3MA,2506070002060,PROCESSED,Payment Processed Successfully,
1049,2025-07-02 17:47:01.47,20250702,2025-07-02 17:47:01.576,20250702,1075,BATCH-MCM2LLXG,2506050001997,PROCESSED,Payment Processed Successfully,
1050,2025-07-02 17:48:45.158,20250702,2025-07-02 17:48:45.274,20250702,1178,BATCH-MCM2NTXG,2506070002072,PROCESSED,Payment Processed Successfully,
1058,2025-07-02 17:57:07.522,20250702,2025-07-02 17:57:07.584,20250702,1613,BATCH-MCM2YLK6,2506100002249,PROCESSED,Payment Processed Successfully,
1051,2025-07-02 17:50:17.152,20250702,2025-07-02 17:50:17.217,20250702,1183,BATCH-MCM2PSX1,2506070002091,PROCESSED,Payment Processed Successfully,
